rgi_id,glims_id,cenlon,cenlat,glac_name,Name1,Local_script1,Language1,Meaning1,Source1,Contributor
RGI2000-v7.0-G-14-00196,G069977E35898N,69.97658882,35.897723,,,,,,,
RGI2000-v7.0-G-14-00197,G069971E35899N,69.97066281,35.899157,,,,,,,
RGI2000-v7.0-G-14-00198,G069974E35908N,69.97322615,35.907369,,,,,,,
RGI2000-v7.0-G-14-00199,G069971E35915N,69.97077394,35.9141705,,,,,,,
RGI2000-v7.0-G-14-00200,G069960E35919N,69.96245127,35.918773,,,,,,,
RGI2000-v7.0-G-14-00201,G069949E35919N,69.94884548,35.9187,,,,,,,
RGI2000-v7.0-G-14-00202,G069949E35923N,69.94938855,35.922203,,,,,,,
RGI2000-v7.0-G-14-00203,G069955E35929N,69.95502356,35.9291205,,,,,,,
RGI2000-v7.0-G-14-00204,G069951E35931N,69.95122712,35.9309285,,,,,,,
RGI2000-v7.0-G-14-00205,G069953E35939N,69.95011106,35.9367945,,,,,,,
RGI2000-v7.0-G-14-00206,G069943E35943N,69.94326734,35.9434735,,,,,,,
RGI2000-v7.0-G-14-00207,G069945E35947N,69.94471759,35.9471235,,,,,,,
RGI2000-v7.0-G-14-00208,G069957E35945N,69.95670925,35.9451405,,,,,,,
RGI2000-v7.0-G-14-00209,G069936E35939N,69.93583463,35.9367395,,,,,,,
RGI2000-v7.0-G-14-00210,G069926E35946N,69.9258255,35.946454,,,,,,,
RGI2000-v7.0-G-14-00211,G069914E35936N,69.91440433,35.935908,,,,,,,
RGI2000-v7.0-G-14-00212,G069906E35973N,69.90664155,35.9729995,,,,,,,
RGI2000-v7.0-G-14-00213,G069906E35986N,69.9057079,35.985502,,,,,,,
RGI2000-v7.0-G-14-00214,G069907E35999N,69.90728287,35.9986975,,,,,,,
RGI2000-v7.0-G-14-00215,G069886E36018N,69.88552585,36.0178385,,,,,,,
RGI2000-v7.0-G-14-00216,G069875E36041N,69.87535729,36.040656,,,,,,,
RGI2000-v7.0-G-14-00217,G069900E36062N,69.89989226,36.061549,,,,,,,
RGI2000-v7.0-G-14-00218,G069852E36077N,69.85200101,36.076697,,,,,,,
RGI2000-v7.0-G-14-00219,G069848E36075N,69.84825891,36.074801,,,,,,,
RGI2000-v7.0-G-14-00220,G069845E36069N,69.8444485,36.0693145,,,,,,,
RGI2000-v7.0-G-14-00221,G069840E36095N,69.83967567,36.095169,,,,,,,
RGI2000-v7.0-G-14-00222,G069837E36096N,69.83679754,36.0957595,,,,,,,
RGI2000-v7.0-G-14-00223,G069918E36111N,69.91847141,36.111421,,,,,,,
RGI2000-v7.0-G-14-00224,G069972E35989N,69.97181398,35.989102,,,,,,,
RGI2000-v7.0-G-14-00225,G069955E35984N,69.95459498,35.9839085,,,,,,,
RGI2000-v7.0-G-14-00226,G069952E35966N,69.95156295,35.9660445,,,,,,,
RGI2000-v7.0-G-14-00227,G069982E35923N,69.98200983,35.9225445,,,,,,,
RGI2000-v7.0-G-14-00228,G069986E35921N,69.98667045,35.9206065,,,,,,,
RGI2000-v7.0-G-14-00229,G069994E35918N,69.99407107,35.918389,,,,,,,
RGI2000-v7.0-G-14-00230,G070010E35891N,70.01036647,35.891418,,,,,,,
RGI2000-v7.0-G-14-00231,G070046E35850N,70.04560058,35.8501045,,,,,,,
RGI2000-v7.0-G-14-00232,G070051E35854N,70.05118946,35.8534655,,,,,,,
RGI2000-v7.0-G-14-00233,G070055E35848N,70.05764758,35.8487965,,,,,,,
RGI2000-v7.0-G-14-00234,G070068E35842N,70.06755246,35.8415295,,,,,,,
RGI2000-v7.0-G-14-00235,G070047E35838N,70.04681866,35.837965,,,,,,,
RGI2000-v7.0-G-14-00236,G070045E35830N,70.04412024,35.8292965,,,,,,,
RGI2000-v7.0-G-14-00237,G070054E35827N,70.05018437,35.826028,,,,,,,
RGI2000-v7.0-G-14-00238,G070036E35826N,70.03604466,35.825742,,,,,,,
RGI2000-v7.0-G-14-00239,G070036E35814N,70.03357412,35.8139465,,,,,,,
RGI2000-v7.0-G-14-00240,G070028E35812N,70.02831868,35.8121275,,,,,,,
RGI2000-v7.0-G-14-00241,G070023E35800N,70.02332297,35.800434,,,,,,,
RGI2000-v7.0-G-14-00242,G070011E35794N,70.01085721,35.794985,,,,,,,
RGI2000-v7.0-G-14-00243,G070007E35793N,70.00648999,35.79368,,,,,,,
RGI2000-v7.0-G-14-00244,G070008E35783N,70.00744244,35.7827285,,,,,,,
RGI2000-v7.0-G-14-00245,G070000E35779N,70.00007896,35.7790135,,,,,,,
RGI2000-v7.0-G-14-00246,G070004E35769N,70.00363318,35.768982,,,,,,,
RGI2000-v7.0-G-14-00247,G069995E35764N,69.99725675,35.7644005,,,,,,,
RGI2000-v7.0-G-14-00248,G069994E35763N,69.99272586,35.764561,,,,,,,
RGI2000-v7.0-G-14-00249,G069999E35760N,69.99893091,35.7597615,,,,,,,
RGI2000-v7.0-G-14-00250,G070006E35750N,70.00559032,35.750092,,,,,,,
RGI2000-v7.0-G-14-00251,G070017E35779N,70.01693268,35.779618,,,,,,,
RGI2000-v7.0-G-14-00252,G069986E35791N,69.98590097,35.791567,,,,,,,
RGI2000-v7.0-G-14-00253,G070051E35792N,70.05138152,35.791667,,,,,,,
RGI2000-v7.0-G-14-00254,G070051E35808N,70.05104792,35.807824,,,,,,,
RGI2000-v7.0-G-14-00255,G070062E35817N,70.06259171,35.8166665,,,,,,,
RGI2000-v7.0-G-14-00256,G070069E35817N,70.06898995,35.8172705,,,,,,,
RGI2000-v7.0-G-14-00257,G070078E35820N,70.07770775,35.819728,,,,,,,
RGI2000-v7.0-G-14-00258,G070089E35818N,70.08859284,35.8176645,,,,,,,
RGI2000-v7.0-G-14-00259,G070098E35818N,70.09619057,35.8158885,,,,,,,
RGI2000-v7.0-G-14-00260,G070101E35810N,70.10094066,35.8102675,,,,,,,
RGI2000-v7.0-G-14-00261,G070116E35824N,70.11667469,35.8242595,,,,,,,
RGI2000-v7.0-G-14-00262,G070126E35820N,70.12585058,35.820012,,,,,,,
RGI2000-v7.0-G-14-00263,G070127E35832N,70.12655961,35.8320155,,,,,,,
RGI2000-v7.0-G-14-00264,G070131E35836N,70.13122489,35.835538,,,,,,,
RGI2000-v7.0-G-14-00265,G070139E35835N,70.13912986,35.8347895,,,,,,,
RGI2000-v7.0-G-14-00266,G070131E35843N,70.13117852,35.8428065,,,,,,,
RGI2000-v7.0-G-14-00267,G070137E35845N,70.13645762,35.845351,,,,,,,
RGI2000-v7.0-G-14-00268,G070142E35847N,70.14224268,35.8471345,,,,,,,
RGI2000-v7.0-G-14-00269,G070149E35849N,70.14883816,35.8481635,,,,,,,
RGI2000-v7.0-G-14-00270,G070143E35853N,70.14348598,35.852728,,,,,,,
RGI2000-v7.0-G-14-00271,G070148E35855N,70.147796,35.854621,,,,,,,
RGI2000-v7.0-G-14-00272,G070157E35859N,70.15643814,35.858923,,,,,,,
RGI2000-v7.0-G-14-00273,G070167E35858N,70.16688634,35.8566365,,,,,,,
RGI2000-v7.0-G-14-00274,G070177E35854N,70.17714624,35.8548245,,,,,,,
RGI2000-v7.0-G-14-00275,G070189E35858N,70.18857579,35.8581675,,,,,,,
RGI2000-v7.0-G-14-00276,G070195E35855N,70.19343486,35.854493,,,,,,,
RGI2000-v7.0-G-14-00277,G070185E35847N,70.18496395,35.846894,,,,,,,
RGI2000-v7.0-G-14-00278,G070190E35841N,70.18958304,35.840649,,,,,,,
RGI2000-v7.0-G-14-00279,G070180E35830N,70.18036653,35.82988,,,,,,,
RGI2000-v7.0-G-14-00280,G070191E35827N,70.19002888,35.8266745,,,,,,,
RGI2000-v7.0-G-14-00281,G070201E35816N,70.20140671,35.8155615,,,,,,,
RGI2000-v7.0-G-14-00282,G070204E35816N,70.20363549,35.8158065,,,,,,,
RGI2000-v7.0-G-14-00283,G070198E35814N,70.19857936,35.81376,,,,,,,
RGI2000-v7.0-G-14-00284,G070152E35814N,70.15236476,35.814399,,,,,,,
RGI2000-v7.0-G-14-00285,G070124E35769N,70.12380042,35.769087,,,,,,,
RGI2000-v7.0-G-14-00286,G070133E35867N,70.13359035,35.867203,,,,,,,
RGI2000-v7.0-G-14-00287,G070139E35868N,70.13964668,35.868431,,,,,,,
RGI2000-v7.0-G-14-00288,G070146E35866N,70.1470731,35.86726,,,,,,,
RGI2000-v7.0-G-14-00289,G070125E35869N,70.12456887,35.868814,,,,,,,
RGI2000-v7.0-G-14-00290,G070123E35871N,70.1177706,35.8700285,,,,,,,
RGI2000-v7.0-G-14-00291,G070181E35882N,70.18088772,35.882237,,,,,,,
RGI2000-v7.0-G-14-00292,G070183E35886N,70.18281041,35.885622,,,,,,,
RGI2000-v7.0-G-14-00293,G070184E35888N,70.18432127,35.887955,,,,,,,
RGI2000-v7.0-G-14-00294,G070186E35891N,70.1869883,35.8902175,,,,,,,
RGI2000-v7.0-G-14-00295,G070195E35895N,70.19500381,35.8947675,,,,,,,
